BER CGN 14 06:20 07:30 EW8058 32A
BER CGN 23 06:50 08:00 EW8058 32A
BER CGN X67 08:00 09:10 EW013 A319
BER CGN 12 10:15 11:25 EW8050 32A
BER CGN 6 11:15 12:25 EW8070 32A
BER CGN 4 14:25 15:35 EW007 32A
BER CGN 345 15:35 16:45 EW009 A319
BER CGN 125 16:10 17:20 EW8070 32A
BER CGN 1234 16:15 17:25 EW051 A319
BER CGN 7 17:00 18:10 EW009 A319
BER CGN 5 17:00 18:10 EW051 A319
BER CGN 1234 17:55 19:05 EW8054 32A
BER CGN 37 19:20 20:30 EW007 B738
BER CGN 5 19:30 20:40 EW8054 32A

BER DUS 2 06:30 07:45 EW8040 32A
BER DUS 1 06:40 07:55 EW9051 32A
BER DUS X67 08:10 09:25 EW9049 A319
BER DUS 6 09:10 10:25 EW9051 A319
BER DUS 1234 12:40 13:55 EW9047 A319
BER DUS 1 15:30 16:45 EW9053 32A
BER DUS 3457 16:30 17:45 EW9043 A319
BER DUS 1235 17:15 18:30 EW9041 A319
BER DUS 4 18:35 19:50 EW8044 32A
BER DUS 1457 18:35 19:50 EW8046 32A
BER DUS X67 20:45 22:00 EW9045 A320

BER FRA X6 06:30 07:40 LH171 A321
BER FRA 6 06:30 07:40 LH173 A321
BER FRA X 07:45 08:55 LH175 32A
BER FRA X 08:45 09:55 LH169 A321
BER FRA X 09:45 10:55 LH179 A319
BER FRA X 10:45 11:55 LH045 32A
BER FRA X 13:45 14:55 LH189 32A
BER FRA X 14:45 15:55 LH191 32A
BER FRA 2345 16:45 17:55 LH195 32A
BER FRA X 17:45 18:55 LH197 32A
BER FRA X 19:45 20:55 LH187 32N

BER MUC X67 06:20 07:30 LH1957 32A
BER MUC X67 09:00 10:10 LH1927 32A
BER MUC 1 10:00 11:10 LH1933(CL) CRJ9
BER MUC 1567 10:15 11:25 LH1931(CL) CRJ9
BER MUC X 13:05 14:15 LH1935 32A
BER MUC X23 16:15 17:25 LH1945 32A
BER MUC X 17:45 18:55 LH1941 A319
BER MUC 45 18:30 19:40 LH1947 A319
BER MUC X 19:00 20:10 LH1951 A319
BER MUC X67 19:55 21:05 LH2331 A319
BER MUC 457 21:00 22:10 LH1955 32N

BER STR 1234 06:20 07:40 EW8000 32A
BER STR X67 08:05 09:25 EW2003 A319
BER STR 6 09:05 10:25 EW2001 32A
BER STR 14 10:25 11:45 EW8002 32A
BER STR 23 12:05 13:25 EW2011 A319
BER STR 15 12:20 13:40 EW2001 A319
BER STR 2 14:45 16:05 EW8004 32A
BER STR 7 16:15 17:35 EW2021 A319
BER STR 345 16:30 17:50 EW2005 A319
BER STR 4 17:25 18:45 EW2059 A320
BER STR 12 18:45 20:05 EW8006 32A
BER STR 7 19:05 20:25 EW2003 32A
BER STR 35 19:25 20:45 EW8006 32A
BER STR 5 20:10 21:30 EW2021 A320
BER STR 7 20:10 21:30 EW2007 A320
BER STR 4 20:50 22:10 EW2007 A319

BRE FRA X 06:35 07:35 LH351 A319
BRE FRA X34 10:35 11:35 LH355(CL) E190
BRE FRA X24 19:00 20:00 LH359 A319

BRE MUC X67 06:30 07:45 LH2201 A320
BRE MUC X 09:05 10:20 LH2189 A319
BRE MUC X 13:30 14:45 LH2193 A319
BRE MUC 67 17:30 18:45 LH2195(CL) CRJ9
BRE MUC X67 17:30 18:45 LH2197(CL) CRJ9
BRE MUC X67 19:45 21:00 LH2199(CL) A319

BRE STR 12 08:15 09:25 EW2031 A319
BRE STR 34 16:20 17:25 EW2035(BT) 223
BRE STR 5 18:20 19:25 EW2035 A319

CGN BER X67 06:15 07:25 EW012 A319
CGN BER 14 08:10 09:20 EW8059 32A
CGN BER 23 08:40 09:50 EW8059 32A
CGN BER 12 12:05 13:15 EW8051 32A
CGN BER 6 13:00 14:10 EW8071 32A
CGN BER 345 13:25 14:35 EW008 A319
CGN BER 1234 14:25 15:35 EW050 A319
CGN BER 7 15:10 16:20 EW008 A319
